,property_id,suburb,city,state,country,latitude,longitude,location
0,11156,Potts Point,Sydney,NSW,Australia,-33.869170000000004,151.22656,"17 Billyard Ave, Elizabeth Bay NSW 2011"
1,12351,Pyrmont,Sydney,NSW,Australia,-33.86515,151.1919,"20 Pirrama Rd, Pyrmont NSW 2009"
2,15253,Darlinghurst,Sydney,NSW,Australia,-33.87964,151.2168,"355 Bourke St, Darlinghurst NSW 2010"
3,44545,Darlinghurst,Sydney,NSW,Australia,-33.87888,151.21438999999998,"81-83 Oxford St, Darlinghurst NSW 2010"
4,57183,Bondi Beach,Sydney,NSW,Australia,-33.89185,151.27308,"82 Campbell Parade, Bondi Beach NSW 2026"
5,58506,Mosman,Sydney,NSW,Australia,-33.81927,151.23651999999998,"57 Countess St, Mosman NSW 2088"
6,61721,Bondi Beach,Sydney,NSW,Australia,-33.8889,151.27726,"Bondi Beach Public School, Campbell Pde, Bondi Beach NSW 2026"
7,65126,Bondi Beach,Sydney,NSW,Australia,-33.885690000000004,151.26886000000002,"23B Curlewis St, Bondi Beach NSW 2026"
8,66009,Paddington,Sydney,NSW,Australia,-33.88327,151.22725,"29 Heeley St, Paddington NSW 2021"
9,66158,Elizabeth Bay,Sydney,NSW,Australia,-33.872479999999996,151.22814,"11 Roslyn Gardens, Elizabeth Bay NSW 2011"
10,69121,Narrabeen,Sydney,NSW,Australia,-33.71249,151.29842,"10 Lagoon St, Narrabeen NSW 2101"
11,69956,Bardwell Valley,Sydney,NSW,Australia,-33.93683,151.13528,"41 Wazir St, Bardwell Valley NSW 2207"
12,71866,Sydney,Sydney,NSW,Australia,-33.9086,151.25185,"63 Carrington Rd, Randwick NSW 2031"
13,73628,Bondi Beach,Sydney,NSW,Australia,-33.886720000000004,151.26656,"287 Old South Head Rd, Bondi Beach NSW 2026"
14,73639,Pyrmont,Sydney,NSW,Australia,-33.86585,151.19233,"108 Bowman St, Pyrmont NSW 2009"
15,75702,Malabar,Sydney,NSW,Australia,-33.96472,151.24797,"26 Prince Edward St, Malabar NSW 2036"
16,79624,Neutral Bay,Sydney,NSW,Australia,-33.83096,151.21532,"9 Merlin St, Neutral Bay NSW 2089"
17,79912,Bronte,Sydney,NSW,Australia,-33.906420000000004,151.26699,"13 Tipper Ave, Bronte NSW 2024"
18,86853,Bondi,Sydney,NSW,Australia,-33.8943,151.26724,"274 Bondi Rd, Bondi NSW 2026"
19,87709,North Wahroonga,Sydney,NSW,Australia,-33.70143,151.12514,"15 Holt Ave, North Wahroonga NSW 2076"
20,103273,Bondi Beach,Sydney,NSW,Australia,-33.88923,151.284,"132 Hastings Parade, North Bondi NSW 2026"
21,104380,Bondi Beach,Sydney,NSW,Australia,-33.88885,151.27827,"138-140 Warners Ave, Bondi Beach NSW 2026"
22,104393,Bondi Beach,Sydney,NSW,Australia,-33.888690000000004,151.27891,"45 Ramsgate Ave, Bondi Beach NSW 2026"
23,108522,Surry Hills,Sydney,NSW,Australia,-33.885999999999996,151.20938,"40 Holt St, Surry Hills NSW 2010"
24,118658,North Bondi,Sydney,NSW,Australia,-33.89124,151.28547,"190 Hastings Parade, North Bondi NSW 2026"
25,135691,Bondi,Sydney,NSW,Australia,-33.8895,151.26045,"1 New St, Bondi NSW 2026"
26,143247,Gordon,Sydney,NSW,Australia,-33.761379999999996,151.14978,"17 Browns Rd, Gordon NSW 2072"
27,143280,North Narrabeen,Sydney,NSW,Australia,-33.694,151.29036000000002,"137A Garden St, North Narrabeen NSW 2101"
28,153444,Potts Point,Sydney,NSW,Australia,-33.87249,151.22478999999998,"119 MacLeay St, Potts Point NSW 2011"
29,166468,Dee Why,Sydney,NSW,Australia,-33.75636,151.28905,"2 Carew St, Dee Why NSW 2099"
30,199669,Bondi Beach,Sydney,NSW,Australia,-33.88904,151.27225,"67A Roscoe St, Bondi Beach NSW 2026"
31,210439,Sydney,Sydney,NSW,Australia,-33.86699,151.22433,"3 Oak La, Potts Point NSW 2011"
32,219030,Bondi,Sydney,NSW,Australia,-33.89395,151.26608000000002,"260A Bondi Rd, Bondi NSW 2026"
33,222559,Woollahra,Sydney,NSW,Australia,-33.88697,151.24585,"24 Attunga St, Woollahra NSW 2025"
34,226202,Coogee,Sydney,NSW,Australia,-33.9256,151.25579,"Arden St at Neptune St, Coogee NSW 2034"
35,232782,Sydney,Sydney,NSW,Australia,-33.89289,151.20956,"41 Morehead St, Redfern NSW 2016"
36,232793,Woollahra,Sydney,NSW,Australia,-33.88697,151.24585,"24 Attunga St, Woollahra NSW 2025"
37,232795,Woollahra,Sydney,NSW,Australia,-33.88697,151.24585,"24 Attunga St, Woollahra NSW 2025"
38,236590,Kellyville Ridge,Sydney,NSW,Australia,-33.70711,150.92417,"4 Henfield St, Stanhope Gardens NSW 2768"
39,249100,Kirribilli,Sydney,NSW,Australia,-33.84373,151.21479,"8 Bradly Ave, Kirribilli NSW 2061"
40,249158,Ultimo,Sydney,,Australia,-33.87536,151.19675,"8 Ada Pl, Ultimo NSW 2007"
41,249998,Bondi Junction,Sydney,NSW,Australia,-33.89414,151.25138,"113 Ebley St, Bondi Junction NSW 2022"
42,250821,Bondi Beach,Sydney,NSW,Australia,-33.886179999999996,151.27614,"58 Mitchell St, Bondi Beach NSW 2026"
43,252427,Coogee,Sydney,NSW,Australia,-33.9263,151.25912,"21 Neptune St, Coogee NSW 2034"
44,259857,Camperdown,Sydney,NSW,Australia,-33.89058,151.17791,"57 Mallett St, Camperdown NSW 2050"
45,271182,Newtown,Sydney,NSW,Australia,-33.89434,151.18196,"2 Egan St, Newtown NSW 2042"
46,273673,Maroubra,Sydney,NSW,Australia,-33.942009999999996,151.24895,"9 Mulgray Ave, Maroubra NSW 2035"
47,275625,Randwick,Sydney,NSW,Australia,-33.919709999999995,151.2443,"63 St Pauls St, Randwick NSW 2031"
48,276617,Potts Point,Sydney,NSW,Australia,-33.8727,151.22403,"20 Springfield Ave, Potts Point NSW 2011"
49,283378,Darlinghurst,Sydney,NSW,Australia,-33.877340000000004,151.22095,"235 Darlinghurst Rd, Darlinghurst NSW 2010"
50,286924,Sydney,Sydney,NSW,Australia,-33.84796,151.21186,"30-34 Alfred St S, Milsons Point NSW 2061"
51,287388,Alexandria,Sydney,NSW,Australia,-33.8989,151.19824,"37 Buckland St, Alexandria NSW 2015"
52,288359,Newtown,Sydney,NSW,Australia,-33.90806,151.17661999999999,"148 Lord St, Newtown NSW 2042"
53,288671,Darlinghurst,Sydney,NSW,Australia,-33.878659999999996,151.21532,"252 Crown St, Darlinghurst NSW 2010"
54,290929,Paddington,Sydney,NSW,Australia,-33.88472,151.23686999999998,"8 Forbes St, Paddington NSW 2021"
55,291782,Bondi Junction,Sydney,NSW,Australia,-33.89445,151.25331,"145 Ebley St, Bondi Junction NSW 2022"
56,293951,Bondi Beach,Sydney,NSW,Australia,-33.88985,151.27039,"10 Cox Ave, Bondi Beach NSW 2026"
57,299749,Balgowlah,Sydney,NSW,Australia,-33.794940000000004,151.25963000000002,"80 Seaview St, Balgowlah NSW 2093"
58,304835,Darlinghurst,Sydney,NSW,Australia,-33.87664,151.21726,"247 Bourke St, Darlinghurst NSW 2010"
59,304990,East Lindfield,Sydney,NSW,Australia,-33.769090000000006,151.18124,"8 Loombah Ave, East Lindfield NSW 2070"
60,315059,Darlinghurst,Sydney,NSW,Australia,-33.88157,151.21563,"11 Bloomfield St, Surry Hills NSW 2010"
61,326040,Bondi Beach,Sydney,NSW,Australia,-33.8874,151.27433,"31 Beach Rd, Bondi Beach NSW 2026"
62,338130,Coogee,Sydney,NSW,Australia,-33.92255,151.25093,"100 Mount St, Coogee NSW 2034"
63,348891,Bondi Beach,Sydney,NSW,Australia,-33.88958,151.27406000000002,"120 Roscoe St, Bondi Beach NSW 2026"
64,352147,North Rocks,Sydney,NSW,Australia,-33.76275,151.01316,"7 Eather Ave, North Rocks NSW 2151"
65,357543,East Lindfield,Sydney,NSW,Australia,-33.76771,151.18275,"7 Robinson St, East Lindfield NSW 2070"
66,360141,Marrickville,Sydney,NSW,Australia,-33.91885,151.1526,"66A Renwick St, Marrickville NSW 2204"
67,361912,Pennant Hills,Sydney,NSW,Australia,-33.73553,151.07519,"320 Pennant Hills Rd, Pennant Hills NSW 2120"
68,363237,Summer Hill,Sydney,NSW,Australia,-33.88903,151.13953,"18 Sloane St, Summer Hill NSW 2130"
69,363282,Elizabeth Bay,Sydney,NSW,Australia,-33.87109,151.22398,"15 Tusculum St, Potts Point NSW 2011"
70,365806,Cremorne,Sydney,NSW,Australia,-33.824729999999995,151.22943,"11 Levick St, Cremorne NSW 2090"
71,365953,Mosman,Sydney,NSW,Australia,-33.82329,151.23678999999998,"1 Rosebery St, Mosman NSW 2088"
72,366856,Bondi,Sydney,NSW,Australia,-33.89306,151.26258,"42 Ocean St N, Bondi NSW 2026"
73,366857,Bondi,Sydney,NSW,Australia,-33.892959999999995,151.26277,"42 Ocean St N, Bondi NSW 2026"
74,368282,Dulwich Hill,Sydney,NSW,Australia,-33.89743,151.14234,"108 Victoria St, Dulwich Hill NSW 2203"
75,381091,Surry Hills,Sydney,NSW,Australia,-33.88362,151.21188,"8 Bellevue St, Surry Hills NSW 2010"
76,386997,Chippendale,Sydney,NSW,Australia,-33.88712,151.19678000000002,"70-80 Myrtle St, Chippendale NSW 2008"
77,389876,Redfern,Sydney,NSW,Australia,-33.88926,151.20172,"5/19 Regent St, Redfern NSW 2016"
78,394550,Darlinghurst,Sydney,NSW,Australia,-33.87664,151.21312,"20 Hargrave St, Darlinghurst NSW 2010"
79,403909,Sydney,Sydney,NSW,Australia,-33.886309999999995,151.23081000000002,"120B Underwood St, Paddington NSW 2021"
80,405432,Allambie Heights,Sydney,NSW,Australia,-33.76468,151.2554,"2 Derna Cres, Allambie Heights NSW 2100"
81,408330,Bondi Beach,Sydney,NSW,Australia,-33.88909,151.2757,"184-186 Campbell Parade, Bondi Beach NSW 2026"
82,409800,Centennial Park,Sydney,NSW,Australia,-33.88791,151.23273999999998,"12-14 Wentworth St, Paddington NSW 2021"
83,410073,Woolloomooloo,Sydney,NSW,Australia,-33.87038,151.22047,"28 Forbes St, Woolloomooloo NSW 2011"
84,411828,Lane Cove North,Sydney,NSW,Australia,-33.80341,151.1599,"20 Hart St, Lane Cove North NSW 2066"
85,412079,Church Point,Sydney,NSW,Australia,-33.64349,151.27737,"13 Douglass Estate, Mccarrs Creek NSW 2105"
86,418136,Sydney,Sydney,NSW,Australia,-33.7685,151.25856000000002,"1 Allenby Park Parade, Allambie Heights NSW 2100"
87,418480,Tamarama,Sydney,NSW,Australia,-33.89918,151.27226000000002,"Gaerloch Reserve, 2 Gaerloch Ave, Tamarama NSW 2026"
88,421997,Bilgola,Sydney,NSW,Australia,-33.64085,151.32023,"1 Weetawaa Rd, Bilgola Plateau NSW 2107"
89,426879,Balmain East,Sydney,NSW,Australia,-33.85889,151.19199,"21 Datchett St, Balmain East NSW 2041"
90,429733,Bellevue Hill,Sydney,NSW,Australia,-33.885329999999996,151.26367,"10 Bundarra Rd, Bellevue Hill NSW 2023"
91,440213,Darling Point,Sydney,NSW,Australia,-33.87355,151.23458,"1B New Beach Rd, Darling Point NSW 2027"
92,444772,Double Bay,Sydney,NSW,Australia,-33.87303,151.2467,"4 Gladswood Gardens, Double Bay NSW 2028"
93,444977,Cherrybrook,Sydney,NSW,Australia,-33.72254,151.05119,"1 Yanderra Grove, Cherrybrook NSW 2126"
94,446570,Surry Hills,Sydney,NSW,Australia,-33.88094,151.21112,"128 Commonwealth St, Surry Hills NSW 2010"
95,449750,Surry Hills,Sydney,NSW,Australia,-33.88094,151.21112,"128 Commonwealth St, Surry Hills NSW 2010"
96,450017,North Narrabeen,Sydney,NSW,Australia,-33.6939,151.29072,"137A Garden St, North Narrabeen NSW 2101"
97,458203,Bondi Beach,Sydney,NSW,Australia,-33.89105,151.27251,"3 Jaques Ave, Bondi Beach NSW 2026"
98,460109,Clovelly,Sydney,NSW,Australia,-33.91558,151.26488999999998,"36 Cliffbrook Parade, Clovelly NSW 2031"
99,461984,Rosebery,Sydney,NSW,Australia,-33.91476,151.20641,"2 Primrose Ave, Rosebery NSW 2018"
100,463282,Coogee,Sydney,NSW,Australia,-33.92154,151.25392,"128S Brook St, Coogee NSW 2034"
101,471389,Waterloo,Sydney,NSW,Australia,-33.9032,151.20648,"995 Bourke St, Waterloo NSW 2017"
102,472566,Manly Vale,Sydney,NSW,Australia,-33.784459999999996,151.2747,"84B Innes Rd, Manly Vale NSW 2093"
103,475512,Sydney,Sydney,NSW,Australia,-33.89375,151.26337,"208 Bondi Rd, Bondi NSW 2026"
104,481472,Bondi,Sydney,NSW,Australia,-33.89577,151.26577,"63 Imperial Ave, Bondi NSW 2026"
105,496747,Bondi,Sydney,NSW,Australia,-33.89288,151.26819,"28 Edward St, Bondi NSW 2026"
106,498008,Sydney,Sydney,NSW,Australia,-33.8634,151.21103,"36 Young St, Sydney NSW 2000"
107,499631,Lugarno,Sydney,NSW,Australia,-33.98625,151.0411,"11 Maple St, Lugarno NSW 2210"
108,501265,Maroubra,Sydney,NSW,Australia,-33.936679999999996,151.23363,"10 Nevorie Cres, Maroubra NSW 2035"
109,501382,Kensington,Sydney,NSW,Australia,-33.902640000000005,151.22421,"3 Alison Rd, Kensington NSW 2033"
110,509133,North Bondi,Sydney,NSW,Australia,-33.881009999999996,151.27126,"1 Shaw St, North Bondi NSW 2026"
111,510654,Bondi Beach,Sydney,NSW,Australia,-33.88754,151.27395,"44 Beach Rd, Bondi Beach NSW 2026"
112,516032,Newtown,Sydney,NSW,Australia,-33.89577,151.18329,"94B Wilson St, Newtown NSW 2042"
113,520737,Coogee,Sydney,NSW,Australia,-33.92071,151.25588,"233 Coogee Bay Rd, Coogee NSW 2034"
114,537851,Manly,Sydney,NSW,Australia,-33.80284,151.28978999999998,"73 Darley Rd, Manly NSW 2095"
115,539231,Newport,Sydney,NSW,Australia,-33.64898,151.31927,"47 Hillside Rd, Newport NSW 2106"
116,540974,Bondi Beach,Sydney,NSW,Australia,-33.87932,151.27498,"8 Narelle St, North Bondi NSW 2026"
117,546959,Bondi Beach,Sydney,NSW,Australia,-33.88643,151.26848999999999,"166 Wellington St, Bondi Beach NSW 2026"
118,547003,Bondi Beach,Sydney,NSW,Australia,-33.88673,151.26756,"30 Simpson St, Bondi Beach NSW 2026"
